proposal_id,primary_cluster,primary_ratio,secondary_cluster,secondary_ratio,tertiary_cluster,tertiary_ratio
3553,13,0.35294117647058826,16,0.29411764705882354,2,0.23529411764705882
3559,13,0.36,2,0.32,16,0.16
356,7,0.7446808510638298,18,0.10638297872340426,16,0.10638297872340426
3562,8,0.75,4,0.125,9,0.125
3563,2,0.8333333333333334,16,0.1111111111111111,13,0.05555555555555555
3564,16,0.4230769230769231,13,0.23076923076923078,1,0.11538461538461539
3565,2,0.6842105263157895,13,0.10526315789473684,11,0.05263157894736842
3566,13,0.8947368421052632,6,0.10526315789473684,-1,0.0
3567,12,0.2857142857142857,6,0.2857142857142857,13,0.21428571428571427
3568,2,0.7058823529411765,3,0.17647058823529413,13,0.11764705882352941
3569,2,0.36363636363636365,18,0.2727272727272727,13,0.13636363636363635
357,19,0.5555555555555556,9,0.4444444444444444,-1,0.0
3570,3,0.4583333333333333,2,0.2916666666666667,13,0.16666666666666666
3572,13,0.5,16,0.35714285714285715,8,0.14285714285714285
3573,2,0.3333333333333333,13,0.23809523809523808,12,0.23809523809523808
3576,13,0.5,1,0.2,11,0.1
358,0,0.5625,16,0.25,6,0.125
3581,17,0.5833333333333334,2,0.20833333333333334,19,0.08333333333333333
359,7,0.6470588235294118,18,0.23529411764705882,9,0.11764705882352941
3592,2,0.5454545454545454,12,0.2727272727272727,13,0.13636363636363635
3593,16,0.64,9,0.2,8,0.08
3594,18,0.5652173913043478,8,0.13043478260869565,9,0.13043478260869565
3595,2,0.5333333333333333,13,0.3333333333333333,12,0.13333333333333333
3596,13,0.7,5,0.15,16,0.1
3597,3,0.6,11,0.2,6,0.06666666666666667
3598,13,0.2916666666666667,12,0.25,1,0.125
360,17,0.5714285714285714,4,0.2857142857142857,15,0.07142857142857142
3605,18,0.6190476190476191,8,0.14285714285714285,13,0.14285714285714285
361,9,0.36363636363636365,19,0.18181818181818182,2,0.18181818181818182
3619,8,0.35714285714285715,2,0.2857142857142857,4,0.2857142857142857
362,4,0.6153846153846154,9,0.23076923076923078,15,0.15384615384615385
363,0,0.75,6,0.125,9,0.125
3632,6,0.5416666666666666,16,0.125,5,0.125
364,5,0.6111111111111112,13,0.2777777777777778,8,0.05555555555555555
3642,19,0.35714285714285715,9,0.2857142857142857,15,0.14285714285714285
3643,8,0.5609756097560976,10,0.1951219512195122,9,0.0975609756097561
365,0,0.4444444444444444,2,0.3333333333333333,16,0.2222222222222222
366,0,0.6,2,0.13333333333333333,5,0.13333333333333333
367,0,0.5,16,0.375,8,0.0625
368,0,0.5384615384615384,5,0.38461538461538464,16,0.07692307692307693
3684,16,0.6521739130434783,18,0.17391304347826086,8,0.13043478260869565
3685,16,0.4666666666666667,13,0.16666666666666666,6,0.13333333333333333
3686,15,0.7391304347826086,11,0.13043478260869565,6,0.043478260869565216
3687,1,0.5555555555555556,8,0.16666666666666666,6,0.1111111111111111
3688,12,0.8275862068965517,1,0.1724137931034483,-1,0.0
3689,18,0.5,8,0.3333333333333333,16,0.05555555555555555
369,0,0.7857142857142857,15,0.21428571428571427,-1,0.0
3690,16,0.4583333333333333,9,0.25,8,0.125
3691,10,0.6190476190476191,0,0.19047619047619047,9,0.14285714285714285
3692,8,0.36363636363636365,1,0.2727272727272727,4,0.18181818181818182
3693,0,0.6666666666666666,16,0.13333333333333333,9,0.13333333333333333
3694,12,0.3888888888888889,2,0.2777777777777778,13,0.2222222222222222
3696,1,0.35714285714285715,4,0.2857142857142857,12,0.14285714285714285
3697,0,0.8260869565217391,17,0.08695652173913043,16,0.043478260869565216
3698,1,0.47368421052631576,12,0.42105263157894735,18,0.05263157894736842
3699,2,0.44,3,0.32,8,0.16
370,0,0.5,17,0.2857142857142857,11,0.14285714285714285
3700,2,0.8,16,0.13333333333333333,1,0.06666666666666667
3701,2,0.6428571428571429,19,0.2857142857142857,16,0.07142857142857142
3702,5,0.45454545454545453,13,0.36363636363636365,16,0.045454545454545456
3703,8,0.7037037037037037,0,0.1111111111111111,11,0.037037037037037035
3704,0,0.6470588235294118,9,0.11764705882352941,17,0.058823529411764705
3705,0,0.7368421052631579,8,0.10526315789473684,16,0.05263157894736842
3706,8,0.4,2,0.3,13,0.1
3707,19,0.4827586206896552,2,0.20689655172413793,13,0.20689655172413793
3708,8,0.38461538461538464,18,0.23076923076923078,10,0.19230769230769232
3709,0,0.8421052631578947,9,0.05263157894736842,15,0.05263157894736842
371,0,0.6176470588235294,8,0.20588235294117646,11,0.058823529411764705
3710,0,0.875,17,0.0625,16,0.0625
3711,13,0.5,8,0.4090909090909091,11,0.045454545454545456
3712,13,0.5789473684210527,19,0.2631578947368421,18,0.15789473684210525
3713,6,0.6551724137931034,5,0.10344827586206896,16,0.10344827586206896
3714,15,0.5769230769230769,5,0.23076923076923078,3,0.07692307692307693
3715,1,0.45,18,0.15,11,0.15
3716,1,0.29411764705882354,11,0.29411764705882354,13,0.29411764705882354
3717,2,0.391304347826087,19,0.30434782608695654,16,0.21739130434782608
3718,13,0.2916666666666667,12,0.20833333333333334,1,0.20833333333333334
3719,1,0.3333333333333333,12,0.23809523809523808,13,0.23809523809523808
372,9,0.5789473684210527,11,0.15789473684210525,15,0.15789473684210525
3720,12,0.5909090909090909,1,0.2727272727272727,13,0.09090909090909091
3721,0,0.9375,9,0.0625,-1,0.0
3722,15,0.3076923076923077,8,0.23076923076923078,12,0.15384615384615385
3723,2,0.5833333333333334,12,0.4166666666666667,-1,0.0
3724,16,0.40625,18,0.21875,8,0.1875
3725,19,0.47619047619047616,16,0.2857142857142857,13,0.23809523809523808
3726,0,0.8235294117647058,9,0.17647058823529413,-1,0.0
3727,6,0.45,12,0.3,13,0.1
3729,2,0.7333333333333333,16,0.13333333333333333,1,0.06666666666666667
3730,0,1.0,-1,0.0,-1,0.0
3739,13,0.29411764705882354,12,0.23529411764705882,6,0.17647058823529413
374,19,0.2631578947368421,16,0.2631578947368421,9,0.23684210526315788
3740,2,0.6428571428571429,19,0.14285714285714285,16,0.07142857142857142
3748,4,0.2222222222222222,6,0.19444444444444445,15,0.16666666666666666
375,14,0.8823529411764706,11,0.058823529411764705,9,0.058823529411764705
376,9,0.5294117647058824,14,0.35294117647058826,11,0.058823529411764705
3760,19,0.391304347826087,13,0.17391304347826086,16,0.13043478260869565
377,9,0.5,10,0.2222222222222222,16,0.1111111111111111
3771,13,0.55,16,0.2,6,0.1
3772,18,0.47619047619047616,2,0.3333333333333333,6,0.09523809523809523
3773,0,0.8235294117647058,16,0.11764705882352941,17,0.058823529411764705
3774,3,0.7391304347826086,8,0.08695652173913043,13,0.043478260869565216
3775,2,0.6153846153846154,16,0.15384615384615385,19,0.15384615384615385
3776,2,0.4,19,0.3,11,0.1
3777,19,0.35714285714285715,11,0.21428571428571427,8,0.14285714285714285
3778,2,0.5217391304347826,3,0.34782608695652173,13,0.13043478260869565
3779,1,0.25,11,0.2,4,0.2
378,9,0.35714285714285715,14,0.35714285714285715,16,0.21428571428571427
3780,2,0.3125,13,0.3125,19,0.1875
3781,19,0.5294117647058824,2,0.23529411764705882,11,0.11764705882352941
3782,13,0.5454545454545454,1,0.18181818181818182,11,0.09090909090909091
3783,2,0.6666666666666666,8,0.16666666666666666,16,0.16666666666666666
3784,2,0.75,16,0.08333333333333333,5,0.08333333333333333
3785,16,0.6111111111111112,0,0.3333333333333333,9,0.05555555555555555
3786,3,0.6,11,0.2,2,0.13333333333333333
3787,12,0.5333333333333333,1,0.2,13,0.1
3788,13,0.7333333333333333,1,0.2,6,0.06666666666666667
3789,5,0.5263157894736842,15,0.3684210526315789,6,0.10526315789473684
3790,15,0.5789473684210527,5,0.3157894736842105,0,0.05263157894736842
3791,13,0.5,5,0.35714285714285715,6,0.07142857142857142
3792,16,0.5714285714285714,13,0.2857142857142857,6,0.10714285714285714
3793,16,0.85,13,0.1,8,0.05
3794,13,0.3076923076923077,6,0.3076923076923077,16,0.07692307692307693
381,14,0.7894736842105263,9,0.15789473684210525,17,0.05263157894736842
382,18,0.5714285714285714,7,0.3333333333333333,11,0.09523809523809523
3825,3,0.6,2,0.13333333333333333,13,0.13333333333333333
3826,18,0.5294117647058824,1,0.23529411764705882,2,0.17647058823529413
3827,8,0.5454545454545454,4,0.18181818181818182,2,0.13636363636363635
3828,12,0.6190476190476191,1,0.3333333333333333,11,0.047619047619047616
3829,4,0.9333333333333333,1,0.06666666666666667,-1,0.0
3830,18,0.30434782608695654,19,0.2608695652173913,13,0.17391304347826086
